castaway_id,num_season,num_advantages
US0161,11,1
US0180,12,1
US0202,13,1
US0214,14,1
US0215,14,1
US0218,14,1
US0221,14,1
US0231,15,2
US0237,15,1
US0201,16,1
US0235,16,1
US0244,16,1
US0254,17,1
US0258,17,1
US0263,17,2
US0273,18,1
US0278,18,1
US0280,18,1
US0290,19,1
US0300,19,3
US0112,20,1
US0150,20,1
US0197,20,2
US0281,20,1
US0300,20,3
US0311,21,1
US0313,21,1
US0319,21,1
US0320,21,2
US0055,22,1
US0324,22,1
US0331,22,1
US0201,23,2
US0277,23,1
US0348,23,1
US0359,24,1
US0364,24,1
US0370,24,1
US0371,24,1
US0196,25,1
US0383,25,1
US0384,25,1
US0246,26,1
US0333,26,1
US0384,26,2
US0394,26,2
US0274,27,2
US0408,28,1
US0416,28,1
US0421,28,1
US0424,28,3
US0427,29,1
US0437,29,2
US0439,29,1
US0442,29,1
US0452,30,1
US0455,30,1
US0459,30,1
US0460,30,1
US0280,31,1
US0429,31,2
US0433,31,2
US0468,32,1
US0471,32,1
US0473,32,1
US0476,32,2
US0489,33,1
US0493,33,2
US0495,33,2
US0497,33,1
US0498,33,3
US0281,34,1
US0364,34,1
US0414,34,2
US0456,34,1
US0470,34,1
US0476,34,3
US0505,35,1
US0509,35,2
US0510,35,3
US0512,35,2
US0514,35,2
US0515,35,1
US0516,35,3
US0518,36,1
US0519,36,1
US0524,36,1
US0528,36,2
US0530,36,1
US0531,36,1
US0532,36,2
US0535,36,2
US0536,36,1
US0546,37,2
US0548,37,1
US0550,37,1
US0551,37,2
US0554,37,1
US0556,37,2
US0429,38,1
US0477,38,3
US0559,38,1
US0560,38,5
US0565,38,2
US0566,38,2
US0568,38,1
US0570,38,2
US0573,39,1
US0574,39,1
US0578,39,3
US0579,39,1
US0583,39,1
US0584,39,2
US0586,39,2
US0587,39,1
US0589,39,3
US0112,40,1
US0197,40,1
US0274,40,1
US0353,40,5
US0371,40,4
US0386,40,5
US0414,40,2
US0424,40,1
US0433,40,1
US0442,40,4
US0478,40,2
US0498,40,1
US0516,40,1
US0596,41,1
US0597,41,3
US0600,41,1
US0601,41,1
US0602,41,2
US0603,41,1
US0604,41,1
US0606,41,3
US0608,41,1
US0611,42,4
US0612,42,1
US0616,42,1
US0619,42,3
US0620,42,1
US0621,42,1
US0628,43,3
US0629,43,1
US0631,43,1
US0632,43,1
US0633,43,1
US0634,43,3
US0636,43,2
US0638,43,1
US0641,43,1
US0642,43,1
US0645,44,1
US0646,44,2
US0648,44,1
US0650,44,1
US0652,44,1
US0654,44,2
US0655,44,1
US0658,44,1
US0659,44,1
US0661,44,1
US0657,45,2
US0663,45,4
US0667,45,2
US0670,45,1
US0671,45,2
US0672,45,1
US0673,45,1
US0675,45,1
US0677,45,2
US0684,46,2
US0685,46,2
US0689,46,1
US0691,46,1
US0692,46,1
US0694,46,1
US0695,46,2
US0697,46,1
